Date,"Imp Vol","1D IV Chg","IV Rank","IV Pctl","Put/Call Vol","Options Vol","Put/Call OI","Total OI"
2023-03-02,18.56%,-0.94%,23.07%,18%,1.448076593252,9277941,1.9529174492101,20202305
2023-03-01,19.50%,+0.22%,28.90%,26%,1.2196337955896,8893460,1.9911333880143,19685265
2023-02-28,19.29%,-0.27%,27.57%,22%,1.2240143941664,7727874,2.0404383324436,19581110
2023-02-27,19.56%,-0.60%,29.26%,26%,1.3354419093258,8643648,1.9408758025315,19673321
2023-02-24,20.16%,+0.71%,32.93%,30%,1.1798718309977,9376056,1.9995149745431,19418521
2023-02-23,19.45%,-1.14%,28.56%,25%,1.1046334736543,8913731,1.9415600725197,18996089
2023-02-22,20.58%,-0.58%,35.57%,33%,1.1456696559434,8132309,1.9273088222968,18650066
2023-02-21,21.16%,+2.69%,39.15%,39%,1.2091113202776,9050031,2.3159554582997,22033065
2023-02-17,18.48%,-0.09%,22.58%,17%,1.2257407657057,9311707,2.180815569257,22256720
2023-02-16,18.56%,+1.46%,23.12%,18%,1.3223038397082,9421589,2.2171854116613,22181480
2023-02-15,17.11%,-0.54%,14.14%,6%,1.1669433712829,7579346,2.2441172531898,21947952
2023-02-14,17.65%,-1.38%,17.48%,10%,1.2545214688224,9797625,2.2483904168002,21768338
2023-02-13,19.03%,-0.25%,26.01%,19%,1.4516590520275,7586605,2.1966199701,22158244
2023-02-10,19.28%,+0.03%,27.54%,20%,1.3468428240802,8698296,2.1068860311776,21766828
2023-02-09,19.25%,+1.30%,27.33%,20%,1.161420353321,9429179,2.1338850065027,21451048
2023-02-08,17.95%,+1.15%,19.33%,13%,1.0365552594094,8764173,2.2545093737141,21069199
2023-02-07,16.80%,-0.85%,12.27%,5%,1.208180388044,10144299,2.1738831524274,20650036
2023-02-06,17.65%,+1.20%,17.50%,10%,1.2410366980033,7618718,2.2551901095982,21347387
2023-02-03,16.45%,+0.33%,10.09%,3%,1.2861923985787,9969845,2.2651304234097,21045421
2023-02-02,16.12%,-0.19%,8.07%,2%,1.2485204776777,11565382,2.215418812179,20065342
2023-02-01,16.31%,-1.28%,9.22%,2%,1.2780762137048,10171485,2.1480017148651,19333739
2023-01-31,17.59%,-1.05%,17.09%,8%,1.3185569667961,7689784,2.0153801429314,18888299
2023-01-30,18.64%,+1.69%,23.59%,16%,1.2075436275735,8666090,2.1614071991312,19417774
2023-01-27,16.95%,-0.22%,13.14%,4%,1.1484100289617,9561950,2.0711631549528,18988191
2023-01-26,17.16%,-0.33%,14.49%,4%,1.0573566687721,9530462,2.0942587072929,18616722
2023-01-25,17.49%,-0.34%,16.50%,6%,1.2864792013167,10053505,2.091701448982,18146315
2023-01-24,17.83%,-0.25%,18.62%,9%,1.2530587039744,7340828,2.128055050431,18051549
2023-01-23,18.09%,-0.33%,20.18%,10%,1.306461795874,10641934,2.0718541499624,21109751
2023-01-20,18.42%,-0.88%,22.21%,12%,1.3291669734742,8983420,1.8306360752783,21169495
"Downloaded from Barchart.com as of 04-24-2023 10:29pm CDT"
